param,row,col,value
w2,1,45,-0.18442915374129873
w2,1,46,0.24056036913997283
w2,1,47,-0.10854490154784609
w2,1,48,0.05617994694662026
w2,1,49,-0.06978724091660488
w2,2,0,0.2949279855868881
w2,2,1,0.19158423777972036
w2,2,2,0.060180959660154514
w2,2,3,0.16416826490700262
w2,2,4,-0.20221698125505483
w2,2,5,0.02298293811928943
w2,2,6,0.23769558352168066
w2,2,7,0.22345971037074555
w2,2,8,0.2516655122847674
w2,2,9,-0.2541322651674057
w2,2,10,0.3624080021182902
w2,2,11,0.007645318108682186
w2,2,12,0.49709450342058803
w2,2,13,0.10138201085242891
w2,2,14,0.09303249681697219
w2,2,15,0.17985387417379103
w2,2,16,-0.09754455161875426
w2,2,17,0.21847028677914984
w2,2,18,0.3384331797627748
w2,2,19,-0.15598952397505558
w2,2,20,-0.4076475156541746
w2,2,21,-0.22632136649240372
w2,2,22,0.34457285792132303
w2,2,23,-0.12724055858517933
w2,2,24,0.13287054510707857
w2,2,25,0.012196204239317835
w2,2,26,0.18711266749854108
w2,2,27,-0.2886654122267004
w2,2,28,0.30316557063811855
w2,2,29,0.04811167400274326
w2,2,30,-0.007407636792468028
w2,2,31,-0.08328056425589289
w2,2,32,0.04392753191309145
w2,2,33,0.18479374972266266
w2,2,34,0.20671995800446097
w2,2,35,-0.3465486150032148
w2,2,36,-0.19546723005410585
w2,2,37,0.24750294433698977
w2,2,38,0.01788946125517186
w2,2,39,0.10521015487631019
w2,2,40,0.1601241074807775
w2,2,41,-0.11948068166430145
w2,2,42,0.134048777662104
w2,2,43,0.031911587029637756
w2,2,44,0.23562257534869793
w2,2,45,0.05100037074730537
w2,2,46,0.23937797504038794
w2,2,47,-0.15137320527702944
w2,2,48,-0.11435786122048412
w2,2,49,0.127088164102071
w2,3,0,0.26719335339184586
w2,3,1,0.041174858690127394
w2,3,2,0.16090795744742548
w2,3,3,-0.14753754618488613
w2,3,4,-0.10628342201662969
w2,3,5,0.058454529901558645
w2,3,6,0.07733201023336601
w2,3,7,0.027038652722773927
w2,3,8,0.36287222915005185
w2,3,9,0.19409071875032133
w2,3,10,0.10969863592788669
w2,3,11,0.08601870124087665
w2,3,12,0.09032314744082522
w2,3,13,-0.01152623097086925
w2,3,14,0.02582209360439249
w2,3,15,0.050224238296442354
w2,3,16,-0.016000294543973972
w2,3,17,-0.013068214390031918
w2,3,18,0.07462128409576382
w2,3,19,-0.02879821289261455
w2,3,20,0.31455805577318907
w2,3,21,-0.1235845195667831
w2,3,22,0.0034906002011958013
w2,3,23,-0.21626825084975618
w2,3,24,-0.16829088553553562
w2,3,25,0.2599712237152797
w2,3,26,0.013838845142671403
w2,3,27,0.3062822162549827
w2,3,28,-0.29736117140958285
w2,3,29,0.10029742285866083
w2,3,30,-0.24665775693703487
w2,3,31,-0.1530482708468961
w2,3,32,0.11318810001013913
w2,3,33,0.4329777307953866
w2,3,34,0.1743821459681671
w2,3,35,-0.18714142501913636
w2,3,36,0.06835822877774843
w2,3,37,-0.08856910983306025
w2,3,38,0.0881685346616322
w2,3,39,0.057157196422678906
w2,3,40,0.1709631826906894
w2,3,41,0.11313135312640511
w2,3,42,-0.02795791277960659
w2,3,43,-0.19409903957669047
w2,3,44,0.1592218831158594
w2,3,45,0.059671796198745464
w2,3,46,-0.03219514736544725
w2,3,47,-0.22419525819429295
w2,3,48,0.027914163079180303
w2,3,49,0.2377588448040142
w2,4,0,0.22617569855741826
w2,4,1,-0.04452870457648373
w2,4,2,-0.05817105815847394
w2,4,3,0.20176496671796265
w2,4,4,0.32528652577637357
w2,4,5,0.011428016589056213
w2,4,6,-0.325405906190258
w2,4,7,0.4216802123663999
w2,4,8,-0.13298210687758485
w2,4,9,-0.023745822319343596
w2,4,10,0.0813330680247235
w2,4,11,0.34630743731951613
w2,4,12,-0.05631756704088788
w2,4,13,0.049410987727143425
w2,4,14,0.010820566082340196
w2,4,15,0.39148945216693315
w2,4,16,-0.1388937575674361
w2,4,17,0.15721111550169126
w2,4,18,0.01619565135438866
w2,4,19,0.18275878407105337
w2,4,20,0.1066235252920335
w2,4,21,-0.05621205426988368
w2,4,22,-0.255315235521005
w2,4,23,0.07353706779555103
w2,4,24,0.09241549970728556
w2,4,25,-0.02138773972596181
w2,4,26,-0.15460428552794603
w2,4,27,-0.09226765610599123
w2,4,28,0.13095595513977468
w2,4,29,-0.006351695002272153
w2,4,30,0.2807894548318421
w2,4,31,0.0028400231152153075
w2,4,32,-0.03819225059740113
w2,4,33,-0.04174030556731176
w2,4,34,-0.6178900199956676
w2,4,35,0.3716571909945899
w2,4,36,-0.20904644608571699
w2,4,37,-0.2347532056091389
w2,4,38,-0.07924727077347414
w2,4,39,-0.08480800676005544
w2,4,40,-0.11320044182848268
w2,4,41,0.021081934458032817
w2,4,42,0.06803655657131627
w2,4,43,-0.10985831307012313
w2,4,44,0.491354688582854
w2,4,45,-0.0357155438262485
w2,4,46,0.46973012353288224
w2,4,47,0.04048750617734441
w2,4,48,0.21555097003761206
w2,4,49,-0.2301278507582421
w2,5,0,-0.543797998931966
w2,5,1,-0.253940847736987
w2,5,2,-0.10614320680565997
w2,5,3,0.20583149871586162
w2,5,4,-0.06648865451668055
w2,5,5,-0.38324143863223536
w2,5,6,-0.3368485180118455
w2,5,7,0.09557997084268906
w2,5,8,0.02027925138113661
w2,5,9,-0.055494251377003215
w2,5,10,-0.2511220856647616
w2,5,11,0.11133754804676492
w2,5,12,0.05179491374414388
w2,5,13,0.4252029471728459
w2,5,14,0.16185859019319968
w2,5,15,-0.2725468703430514
w2,5,16,0.03142332907084468
w2,5,17,0.23487056450913593
w2,5,18,-0.03872170205926468
w2,5,19,-0.17459576992051332
w2,5,20,-0.0327525951323709
w2,5,21,0.16899324271298377
w2,5,22,-0.009411077204966051
w2,5,23,0.1955038309829953
w2,5,24,0.026270376145697924
w2,5,25,0.25492348080955496
w2,5,26,-0.16698306729589477
w2,5,27,-0.03150872533599236
w2,5,28,0.03495831034766517
w2,5,29,0.35635057432405887
w2,5,30,0.10966771529932778
w2,5,31,0.2789442307184272
w2,5,32,-0.2103900664649751
w2,5,33,0.3708779823678831
w2,5,34,0.07311773271648657
w2,5,35,-0.15795991483198338
w2,5,36,0.2183164832120798
w2,5,37,-0.09844656060700095
w2,5,38,0.22122700084443286
w2,5,39,0.04427083184549432
w2,5,40,-0.09354258348797213
w2,5,41,0.21442656009406255
w2,5,42,0.1606505416635106
w2,5,43,0.03727170483151938
w2,5,44,-0.14847050750597307
w2,5,45,0.3559293214038402
w2,5,46,0.1470469171291977
w2,5,47,-0.14651784983717692
w2,5,48,-0.2915171638854159
w2,5,49,-0.18198265790678667
w2,6,0,0.17849225284019132
w2,6,1,-0.26301052104615447
w2,6,2,0.007096405550931646
w2,6,3,0.17594902288825848
w2,6,4,-0.0795547803572452
w2,6,5,-0.05155860643352896
w2,6,6,-0.14896292035876066
